SONG NAME ,ALBUM ,PLAYS SPOTIFY (MILLIONS,DANCEABILITY ,ALBUM AVG DANCEABILITY,ENERGY,ALBUM AVG ENERGY ,TEMPO,ALBUM AVG TEMPO,COLLABORATORS,AVERAGE COLLABORATORS,ALBUM METACRITIC USER REVIEW,ALBUM METACRITIC REVIEW,ALBUM' AOTY USER REVIEW,ALBUMS PITCHFORK REVIEW,First Week Album Sales,ALBUM GRAMMY NOMINATIONS
IGORS THEME,IGOR,73.6,0.467,0.5075454545,0.672,0.5941818182,163.1,115.6454545,1,1,8.9,81,87,8,165000,1
EARFQUAKE,IGOR,533,0.554,0.5075454545,0.498,0.5941818182,79.6,115.6454545,2,1,8.9,81,87,8,165000,1
I THINK ,IGOR,156.7,0.826,0.5075454545,0.579,0.5941818182,121.1,115.6454545,1,1,8.9,81,87,8,165000,1
RUNNING OUT OF TIME,IGOR,111.1,0.36,0.5075454545,0.391,0.5941818182,84.3,115.6454545,0,1,8.9,81,87,8,165000,1
NEW MAGIC WAND,IGOR,113,0.621,0.5075454545,0.73,0.5941818182,139.6,115.6454545,2,1,8.9,81,87,8,165000,1
A BOY IS GUN ,IGOR,103.4,0.417,0.5075454545,0.689,0.5941818182,79.6,115.6454545,0,1,8.9,81,87,8,165000,1
PUPPET,IGOR,66,0.508,0.5075454545,0.557,0.5941818182,77.6,115.6454545,1,1,8.9,81,87,8,165000,1
WHAT'S GOOD,IGOR,62,0.458,0.5075454545,0.909,0.5941818182,118.2,115.6454545,1,1,8.9,81,87,8,165000,1
"GONE,GONE / THANK YOU",IGOR,149,0.518,0.5075454545,0.492,0.5941818182,78.8,115.6454545,1,1,8.9,81,87,8,165000,1
I DON'T LOVE YOU ANYMORE,IGOR,53.5,0.638,0.5075454545,0.522,0.5941818182,142.9,115.6454545,1,1,8.9,81,87,8,165000,1
ARE WE STILL FRIENDS?,IGOR,88.7,0.216,0.5075454545,0.497,0.5941818182,187.3,115.6454545,1,1,8.9,81,87,8,165000,1
Foreword ,Flower Boy ,69.5,0.734,0.5654285714,0.671,0.5642857143,94,99.25,1,0.7857142857,8.8,84,86,8.5,106000,1
Where This Flower Blooms,Flower Boy ,114.7,0.686,0.5654285714,0.429,0.5642857143,130.1,99.25,1,0.7857142857,8.8,84,86,8.5,106000,1
Sometimes...,Flower Boy ,40.5,0.552,0.5654285714,0.415,0.5642857143,72.9,99.25,0,0.7857142857,8.8,84,86,8.5,106000,1
See You Again,Flower Boy ,452.5,0.558,0.5654285714,0.559,0.5642857143,78.6,99.25,1,0.7857142857,8.8,84,86,8.5,106000,1
Who Dat Boy,Flower Boy ,180.8,0.706,0.5654285714,0.485,0.5642857143,115.4,99.25,1,0.7857142857,8.8,84,86,8.5,106000,1
Pothole,Flower Boy ,61.5,0.543,0.5654285714,0.572,0.5642857143,89.4,99.25,1,0.7857142857,8.8,84,86,8.5,106000,1
Garden Shed,Flower Boy ,58.2,0.423,0.5654285714,0.456,0.5642857143,113,99.25,1,0.7857142857,8.8,84,86,8.5,106000,1
Boredom,Flower Boy ,215.7,0.559,0.5654285714,0.578,0.5642857143,79.9,99.25,2,0.7857142857,8.8,84,86,8.5,106000,1
I Ain't Got Time!,Flower Boy ,68.3,0.549,0.5654285714,0.725,0.5642857143,108.8,99.25,0,0.7857142857,8.8,84,86,8.5,106000,1
911/ Mr. Lonely ,Flower Boy ,211.3,0.48,0.5654285714,0.61,0.5642857143,90,99.25,2,0.7857142857,8.8,84,86,8.5,106000,1
Dropping' Seeds,Flower Boy ,37.3,0.401,0.5654285714,0.532,0.5642857143,84.8,99.25,1,0.7857142857,8.8,84,86,8.5,106000,1
November,Flower Boy ,59.3,0.547,0.5654285714,0.759,0.5642857143,91.9,99.25,0,0.7857142857,8.8,84,86,8.5,106000,1
Glitter,Flower Boy ,127.4,0.449,0.5654285714,0.434,0.5642857143,78.6,99.25,0,0.7857142857,8.8,84,86,8.5,106000,1
"Enjoy Right Now, Today",Flower Boy ,30.8,0.729,0.5654285714,0.675,0.5642857143,162.1,99.25,0,0.7857142857,8.8,84,86,8.5,106000,1
DEATHCAMP,Cherry Bomb,31.6,0.581,0.4657692308,0.746,0.7398461538,101.9,109.5076923,1,2,6.4,69,74,6.7,51000,0
BUFFALO,Cherry Bomb,16.8,0.346,0.4657692308,0.824,0.7398461538,169,109.5076923,1,2,6.4,69,74,6.7,51000,0
PILOT,Cherry Bomb,12.4,0.596,0.4657692308,0.869,0.7398461538,110,109.5076923,1,2,6.4,69,74,6.7,51000,0
RUN,Cherry Bomb,8.3,0.411,0.4657692308,0.909,0.7398461538,146,109.5076923,2,2,6.4,69,74,6.7,51000,0
FIND YOUR WINGS ,Cherry Bomb,29.9,0.53,0.4657692308,0.427,0.7398461538,75.1,109.5076923,2,2,6.4,69,74,6.7,51000,0
CHERRY BOMB,Cherry Bomb,13.8,0.594,0.4657692308,0.817,0.7398461538,133.9,109.5076923,0,2,6.4,69,74,6.7,51000,0
BLOW MY LOAD,Cherry Bomb,14.5,0.397,0.4657692308,0.701,0.7398461538,74.5,109.5076923,4,2,6.4,69,74,6.7,51000,0
2SEATER,Cherry Bomb,31.6,0.352,0.4657692308,0.693,0.7398461538,88.9,109.5076923,3,2,6.4,69,74,6.7,51000,0
THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12,Cherry Bomb,21.6,0.63,0.4657692308,0.842,0.7398461538,85,109.5076923,1,2,6.4,69,74,6.7,51000,0
FUCKING YOUNG/ PERFECT,Cherry Bomb,89,0.232,0.4657692308,0.705,0.7398461538,74.3,109.5076923,4,2,6.4,69,74,6.7,51000,0
SMUCKERS ,Cherry Bomb,64.9,0.427,0.4657692308,0.849,0.7398461538,79.2,109.5076923,2,2,6.4,69,74,6.7,51000,0
KEEP DA O'S,Cherry Bomb,8.9,0.501,0.4657692308,0.596,0.7398461538,139.9,109.5076923,2,2,6.4,69,74,6.7,51000,0
"OKAGA, CA",Cherry Bomb,16.89,0.458,0.4657692308,0.64,0.7398461538,145.9,109.5076923,3,2,6.4,69,74,6.7,51000,0
WOLF,Wolf,19.9,0.426,0.5186666667,0.303,0.6553333333,139,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Jamba ,Wolf,34.8,0.722,0.5186666667,0.488,0.6553333333,80.1,107.3203333,1,1.375,8.3,70,76,7.8,89000,0
Cowboy ,Wolf,18.5,0.499,0.5186666667,0.662,0.6553333333,160,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Awkward ,Wolf,25.3,0.472,0.5186666667,0.777,0.6553333333,153.78,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Domo23,Wolf,69.1,0.727,0.5186666667,0.565,0.6553333333,133.1,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Answer,Wolf,58.5,0.352,0.5186666667,0.838,0.6553333333,72.2,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Slater ,Wolf,19,0.575,0.5186666667,0.624,0.6553333333,154.7,107.3203333,1,1.375,8.3,70,76,7.8,89000,0
"""48""",Wolf,25.2,0.558,0.5186666667,0.887,0.6553333333,119.9,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Colossus,Wolf,34.8,0.442,0.5186666667,0.6,0.6553333333,82.5,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
PartyIsntOver/Campfire/Bimmer,Wolf,38.4,0.443,0.5186666667,0.576,0.6553333333,151.8,107.3203333,2,1.375,8.3,70,76,7.8,89000,0
IFHY,Wolf,90.5,0.358,0.5186666667,0.715,0.6553333333,85.5,107.3203333,1,1.375,8.3,70,76,7.8,89000,0
Pigs,Wolf,14,0.406,0.5186666667,0.734,0.6553333333,80.2,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Parking Lot ,Wolf,11.8,0.548,0.5186666667,0.511,0.6553333333,80.7,107.3203333,2,1.375,8.3,70,76,7.8,89000,0
Rusty ,Wolf,26.3,0.503,0.5186666667,0.677,0.6553333333,81.3,107.3203333,2,1.375,8.3,70,76,7.8,89000,0
Trashwang,Wolf,16.9,0.48,0.5186666667,0.609,0.6553333333,64.6,107.3203333,7,1.375,8.3,70,76,7.8,89000,0
Treehome95,Wolf,15.5,0.721,0.5186666667,0.539,0.6553333333,82,107.3203333,2,1.375,8.3,70,76,7.8,89000,0
Tamale ,Wolf,58.5,0.742,0.5186666667,0.93,0.6553333333,129.986,107.3203333,0,1.375,8.3,70,76,7.8,89000,0
Lone,Wolf,12.4,0.362,0.5186666667,0.761,0.6553333333,80.4,107.3203333,0,1.375,8.3,70,76,7.8,89000,0